"순번","ID","도시계획코드","분류명","조서ID","고시ID","라벨명","고시일자","X좌표","Y좌표"
"16381","생활권경계_026","ZON125","지역생활권"," "," ","광진구_구의"," ","",""
"16382","생활권경계_040","ZON125","지역생활권"," "," ","동대문구_장안"," ","",""
"16383","생활권경계_045","ZON125","지역생활권"," "," ","강북구_미아"," ","",""
"16384","생활권경계_046","ZON125","지역생활권"," "," ","강북구_번동"," ","",""
"16385","생활권경계_047","ZON125","지역생활권"," "," ","강북구_수유"," ","",""
"16386","생활권경계_048","ZON125","지역생활권"," "," ","중랑구_면목"," ","",""
"16387","생활권경계_027","ZON125","지역생활권"," "," ","광진구_중곡"," ","",""
"16388","생활권경계_028","ZON125","지역생활권"," "," ","광진구_화양능동"," ","",""
"16389","생활권경계_029","ZON125","지역생활권"," "," ","광진구_자양"," ","",""
"16390","생활권경계_030","ZON125","지역생활권"," "," ","도봉구_도봉"," ","",""
"16391","생활권경계_031","ZON125","지역생활권"," "," ","도봉구_방학"," ","",""
"16392","생활권경계_032","ZON125","지역생활권"," "," ","도봉구_쌍문"," ","",""
"16393","생활권경계_002","ZON121","권역생활권"," "," ","동북권"," ","",""
"16394","생활권경계_003","ZON121","권역생활권"," "," ","서북권"," ","",""
"16395","생활권경계_004","ZON121","권역생활권"," "," ","서남권"," ","",""
"16396","생활권경계_006","ZON125","지역생활권"," "," ","종로구_청운효자"," ","",""
"16397","생활권경계_007","ZON125","지역생활권"," "," ","용산구_청파원효"," ","",""
"16398","생활권경계_009","ZON125","지역생활권"," "," ","중구_필동장충"," ","",""
"16399","생활권경계_010","ZON125","지역생활권"," "," ","용산구_한남"," ","",""
"16407","생활권경계_067","ZON125","지역생활권"," "," ","양천구_신월1"," ","",""
"16408","생활권경계_068","ZON125","지역생활권"," "," ","강서구_공항방화"," ","",""
"16409","생활권경계_069","ZON125","지역생활권"," "," ","구로구_고척개봉"," ","",""
"16410","생활권경계_018","ZON125","지역생활권"," "," ","성북구_정릉"," ","",""
"16411","생활권경계_023","ZON125","지역생활권"," "," ","노원구_노원"," ","",""
"16412","생활권경계_034","ZON125","지역생활권"," "," ","도봉구_초안산"," ","",""
"16413","생활권경계_039","ZON125","지역생활권"," "," ","동대문구_이문휘경"," ","",""
"16414","생활권경계_041","ZON125","지역생활권"," "," ","동대문구_전농답십리"," ","",""
"16415","생활권경계_042","ZON125","지역생활권"," "," ","동대문구_청량리"," ","",""
"16416","생활권경계_043","ZON125","지역생활권"," "," ","성북구_장위석관"," ","",""
"16417","생활권경계_044","ZON125","지역생활권"," "," ","성북구_성북동선"," ","",""
"16418","생활권경계_075","ZON125","지역생활권"," "," ","영등포구_신길"," ","",""
"16419","생활권경계_077","ZON125","지역생활권"," "," ","영등포구_영등포"," ","",""
"16420","생활권경계_082","ZON125","지역생활권"," "," ","구로구_오류수궁"," ","",""
"16421","생활권경계_083","ZON125","지역생활권"," "," ","양천구_신정"," ","",""
"16422","생활권경계_090","ZON125","지역생활권"," "," ","양천구_목동2"," ","",""
"16423","생활권경계_091","ZON125","지역생활권"," "," ","금천구_독산"," ","",""
"16424","생활권경계_093","ZON125","지역생활권"," "," ","동작구_상도"," ","",""
"16425","생활권경계_096","ZON125","지역생활권"," "," ","동작구_노량진"," ","",""
"16426","생활권경계_097","ZON125","지역생활권"," "," ","구로구_구로신도림"," ","",""
"16427","생활권경계_005","ZON121","권역생활권"," "," ","동남권"," ","",""
"16400","생활권경계_012","ZON125","지역생활권"," "," ","용산구_이촌한강"," ","",""
"16401","생활권경계_014","ZON125","지역생활권"," "," ","용산구_후암용산"," ","",""
"16402","생활권경계_015","ZON125","지역생활권"," "," ","중구_소공회현"," ","",""
"16403","생활권경계_016","ZON125","지역생활권"," "," ","종로구_혜화이화"," ","",""
"16404","생활권경계_051","ZON125","지역생활권"," "," ","성북구_종암월곡"," ","",""
"16405","생활권경계_056","ZON125","지역생활권"," "," ","은평구_수색생활권"," ","",""
"16406","생활권경계_064","ZON125","지역생활권"," "," ","마포구_아현생활권"," ","",""
